id,nombre,lng,lat,altitud,corriente,zona,subzona,cenpoblado,municipio,depart,ctg,cotacero,areaaferete,maxnivel,maxcaudal,umbralsen,umbralobs,umbralpron,uroja,unaranja,uamarilla,ubajos,umaxhis,subred,en_H,en_Hsim,en_Q,en_Qsim,en_Calidad,NIVEL,CAUDAL
0026247050,LAS CAMELIAS AUTOM  [26247050],-75.420166,7.582222,97.503,TARAZA,Cauca,Río Taraza - Río Man,TARAZA,TARAZA,ANTIOQUIA,Limnigráfica,92.019,907.248245266,,,,,,5.181,4.681,4.181,0.15,6.86,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
002625700231,EL BAGRE [2625700231],-74.811938,7.603299,160.0,Nechi,Nechí,Bajo Nechí (md),CAUCASIA,CAUCASIA,ANTIOQUIA,Limnigráfica,0.0,,5.12,,,,,,,,0.27,6.25,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
002629700151,LA VORAGINE - AUT   [2629700151],-76.589333,3.346306,1239.0,Pance,Cauca,Rios Claro y Jamundi,CALI,CALI,VALLE DEL CAUCA,Limnigráfica,0.0,,0.9,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
002633700150,GUAYABAL - AUT   [2633700150],-76.100752,4.405279,931.0,Cauca,Cauca,Rios Guadalajara y San Pedro,BUGA,BUGA,VALLE DEL CAUCA,Limnigráfica,0.0,,2.57,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
002636700098,HACIENDA LA GRACIOSA[2636700098],-76.01742,4.2398,1005.0,,Cauca,Río Paila,TULUA,TULUA,VALLE DEL CAUCA,Limnigráfica,0.0,,0.63,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0027027060,BRISAS DEL NECHI [27027060],-75.38075,6.93975,1880.0,NECHI,Nechí,Alto Nechí,YARUMAL,YARUMAL,ANTIOQUIA,Limnigráfica,0.0,238.501430341,1.28,29.26,,,,,,,0.53,4.66,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0027037010,LA ESPERANZA NECHI  [27037010],-74.785556,8.030111,37.364,NECHI,Nechí,Bajo Nechí (md),NECHI,NECHI,ANTIOQUIA,Limnigráfica,31.16,14362.7982131,3.63,1014.06,,,,4.89,4.74,4.59,0.43,5.83,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0027037020,RETIRO EL [27037020],-74.804222,7.561889,105.0,TIGUI,Nechí,Bajo Nechí (md),ZARAGOZA,ZARAGOZA,ANTIOQUIA,Limnigráfica,0.0,2513.42942903,5.07,496.9,,,,,,,0.85,7.28,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0027807,PTE SALADOBLANCO R,-76.01202778,1.98811111,990.0,Magdalena,Alto Magdalena,Río Timaná y otros directos al Magdalena,ELIAS,ELIAS,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0027878,FRENTE PUERTO LA CEBOLLERA,-75.26916667,2.9925,430.0,Magdalena,Alto Magdalena,Juncal y otros Rios directos al Magdalena,NEIVA,NEIVA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CORMAGDALENA - CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0028017080,CORRAL DE PIEDRA  [28017080],-73.05508333,10.81891667,275.0,CESAR,Cesar,Alto Cesar,SAN JUAN DEL CESAR,SAN JUAN DEL CESAR,LA GUAJIRA,Limnimétrica,275.0,205.163660869,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
0028017140,CORRAL DE PIEDRA [28017140],-73.05515,10.81879,275.0,CESAR,Cesar,Alto Cesar,SAN JUAN DEL CESAR,SAN JUAN DEL CESAR,LA GUAJIRA,Limnigráfica,0.0,,0.96,1.3,,,,3.25,3.0,2.75,0.7,3.8,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0028017150,CHEMESQUEMENA [28017150],-73.402167,10.712111,1160.0,GUATAPURI,Cesar,Alto Cesar,VALLEDUPAR,VALLEDUPAR,,Limnimétrica,0.0,,,,,,,3.0,2.6,2.2,,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
0028027030,FLORES LAS   [28027030],-73.242613,10.095482,112.0,MAGIRIAIMO,Cesar,Medio Cesar,ROBLES,LA PAZ,CESAR,Limnimétrica,0.0,523.54876026,2.88,3.39,,,,,,,0.25,5.64,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0028037030,PTE SALGUERO   [28037030],-73.23258,10.383798,113.0,CESAR,Cesar,Medio Cesar,VALLEDUPAR,VALLEDUPAR,CESAR,Limnigráfica,0.0,3426.43290881,1.38,33.67,,,,0.0,0.25,0.5,0.0,7.81,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0028037090,PTE CANOAS   [28037090],-73.646389,9.648528,45.0,CESAR,Cesar,Medio Cesar,EL PASO,EL PASO,CESAR,Limnimétrica,40.0236,10379.4081683,2.79,91.83,,,,0.0,0.25,0.5,0.01,5.97,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0028047010,AURORA LA [28047010],-73.97780556,10.27686111,150.0,ARIGUANI,Cesar,Río Ariguaní,FUNDACION,FUNDACION,MAGDALENA,Limnimétrica,0.0,731.667572009,1.53,34.15,,,,,,,0.44,4.0,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0028047020,PUEBLO BELLO [28047020],-73.588833,10.419847,1125.0,ARIGUANI,Cesar,Río Ariguaní,PUEBLO BELLO,PUEBLO BELLO,CESAR,Limnigráfica,0.0,34.4881336916,0.65,0.9,,,,,,,0.02,4.06,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0028047030,ALGARROBO    [28047030],-74.04691667,10.19344444,107.0,ARIGUANI,Cesar,Río Ariguaní,EL COPEY,EL COPEY,CESAR,Limnimétrica,108.64,,1.45,,,,,2.86,2.36,1.86,0.48,4.59,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0028047050,PALMARIGUANI [28047050],-73.959,9.930944,80.0,ARIGUANI,Cesar,Río Ariguaní,EL DIFICIL,ARIGUANI,MAGDALENA,Limnigráfica,0.0,2554.73371822,1.95,10.7,,,,0.0,0.25,0.5,0.1,6.0,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0029017010,TENERIFE [29017010],-74.86408333,9.903472222,13.025,MAGDALENA,Bajo Magdalena,Directos al Bajo Magdalena entre El Plato y Calamar (md),TENERIFE,TENERIFE,MAGDALENA,Limnimétrica,0.056,,9.38,,,,,13.4,12.9,12.405,3.02,13.81,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0029037001,TAMBO EL AUTOM  AUT [29037001],-75.277182,10.184369,6.0,CIENAGA DEL TAMBO,Bajo Magdalena,Canal del Dique margen derecho,ARJONA,ARJONA,BOLÍVAR,Limnigráfica,0.0,,1.45,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0029037002,JUAN GOMEZ AUTOM  [29037002],-75.410686,10.091931,6.0,CIENAGA DE JUAN GOMEZ,Bajo Magdalena,Canal del Dique margen derecho,ARJONA,ARJONA,BOLÍVAR,Limnigráfica,0.0,,1.93,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
0029037003,PALOTAL    AUT (29037003)[29037003],-75.491906,10.093908,5.0,CIENAGA DE APLOTAL,Bajo Magdalena,Canal del Dique margen izquierda,ARJONA,ARJONA,BOLÍVAR,Limnigráfica,0.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
0029037007,MATUYA  - AUT  [29037007],-75.253233,10.184411,6.0,CIÉNAGA DE MATUY,Bajo Magdalena,Canal del Dique margen izquierda,MAHATES,MAHATES,BOLÍVAR,Limnigráfica,0.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
