Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Congo_congo_km0755,-2.7196,16.1983,7076435,0.998011059,0.885658411,0.874787774,0.830423892
Congo_congo_km0810,-2.262,16.181,7075722,0.998998708,0.837845346,0.829369266,0.764606751
Congo_congo_km0856,-1.945,16.367,7075235,0.999228266,0.955518194,0.922891863,0.910978141
Congo_congo_km0953,-1.3495,16.8316,7074539,0.998941344,0.811108569,0.847757798,0.757391711
Congo_congo_km0973,-1.179,16.917,7074355,0.999133308,0.995580749,0.933787207,0.933634234
Congo_congo_km1010,-1.042,17.167,7073956,0.999085516,0.992496679,0.867680494,0.867464768
Congo_congo_km1016,-1.0364,17.2156,7073939,0.999130435,0.860290226,0.872123034,0.810600698
Congo_congo_km1021,-1.0119,17.2484,7073939,0.998691682,0.873040952,0.853631078,0.806236813
Congo_congo_km1043,-0.9154,17.3863,7073724,0.999143356,0.963370963,0.836004567,0.831961545
Congo_congo_km1082,-0.6859,17.6076,7073609,0.998933357,0.791407571,0.829153719,0.7303699
Congo_congo_km1128,-0.4316,17.8494,7073197,0.9993529,0.924369461,0.838368924,0.82154832
Congo_congo_km1152,-0.2789,17.9851,7073197,0.999468459,0.911103713,0.843538963,0.820047539
Congo_congo_km1170,-0.178,18.076,7072743,0.99921506,0.933098393,0.851986304,0.837566951
Congo_congo_km1184,-0.075,18.112,7072743,0.999140501,0.925223948,0.808835699,0.794729479
Congo_congo_km1248,0.4224,18.3281,7071693,0.999196579,0.956301876,0.548731542,0.546620035
Congo_congo_km1342,1.133,18.565,7070630,0.999223726,0.941277273,0.7911394,0.783039839
Congo_congo_km1347,1.1599,18.5978,7070630,0.999457962,0.935241139,0.830361282,0.818419994
Congo_congo_km1362,1.2526,18.6831,7070630,0.999387199,0.938600254,0.799235042,0.790055072
Congo_congo_km1363,1.2539,18.6846,7070630,0.999412224,0.882630867,0.77461681,0.745886952
Congo_congo_km1409,1.4729,18.9959,7070202,0.999400416,0.995290737,0.689567036,0.689530739
Congo_congo_km1435,1.594,19.182,7069850,0.999133314,0.856624403,0.729040353,0.693444225
Congo_congo_km1436,1.596,19.184,7069850,0.999132304,0.931346719,0.710250693,0.702227122
Congo_congo_km1449,1.6866,19.2464,7069734,0.999843625,0.864028211,0.747465052,0.713186033
Congo_congo_km1471,1.7791,19.4029,7069607,0.999670947,1.024951141,0.834612156,0.832740302
Congo_congo_km1516,1.8851,19.7624,7069460,0.999326298,0.955166,0.680855428,0.677720929
Congo_congo_km1524,1.885,19.836,7069420,0.999336774,0.898164324,0.78762678,0.764472233
Congo_congo_km1525,1.8958,19.8406,7069420,0.999519937,1.002188343,0.783293423,0.783281842
Congo_congo_km1575,1.9522,20.2461,7069293,0.999694233,1.044115714,0.795252152,0.790553179
Congo_congo_km1580,1.9787,20.2869,7069293,0.999831011,1.028463233,0.808908741,0.806800483
Congo_congo_km1610,2.008,20.528,7069191,0.999340583,0.881684459,0.83378858,0.795977359
Congo_congo_km1632,2.004,20.711,7069190,0.999320805,0.985173871,0.821433533,0.820817807
Congo_congo_km1633,1.9911,20.7194,7069190,0.999541878,1.078708833,0.659974798,0.650983628
Congo_congo_km1638,1.9916,20.7611,7069192,0.999471231,0.957654988,0.768526596,0.764684645
Congo_congo_km1692,2.0666,21.2054,7069065,0.999896747,0.900137845,0.746034336,0.727106213
